tx_id	gene_id
ENST00000456328	ENSG00000223972
ENST00000450305	ENSG00000223972
ENST00000473358	ENSG00000243485
ENST00000442987	ENSG00000233750
ENST00000496488	ENSG00000241599
ENST00000624431	ENSG00000279928
ENST00000450983	ENSG00000236601
ENST00000412666	ENSG00000236601
ENST00000635159	ENSG00000236601
ENST00000432723	ENSG00000233653
ENST00000423796	ENSG00000235146
ENST00000450696	ENSG00000235146
ENST00000457540	ENSG00000225630
ENST00000414273	ENSG00000237973
ENST00000440782	ENSG00000229376
ENST00000422528	ENSG00000229905
ENST00000434264	ENSG00000237491
ENST00000457084	ENSG00000237491
ENST00000589899	ENSG00000237491
ENST00000609830	ENSG00000237491
ENST00000586928	ENSG00000237491
ENST00000591702	ENSG00000237491
ENST00000443772	ENSG00000237491
ENST00000412115	ENSG00000237491
ENST00000326734	ENSG00000177757
ENST00000425657	ENSG00000228794
ENST00000415481	ENSG00000234711
ENST00000448179	ENSG00000230699
ENST00000455979	ENSG00000187634
ENST00000478729	ENSG00000187634
ENST00000474461	ENSG00000187634
ENST00000338591	ENSG00000187961
ENST00000622660	ENSG00000187961
ENST00000463212	ENSG00000187961
ENST00000466300	ENSG00000187961
ENST00000379410	ENSG00000187583
ENST00000379407	ENSG00000187583
ENST00000379409	ENSG00000187583
ENST00000491024	ENSG00000187583
ENST00000379389	ENSG00000187608
ENST00000477585	ENSG00000188157
ENST00000469403	ENSG00000188157
ENST00000419249	ENSG00000188157
ENST00000461111	ENSG00000188157
ENST00000418300	ENSG00000242590
ENST00000427998	ENSG00000217801
ENST00000394517	ENSG00000217801
ENST00000456409	ENSG00000217801
ENST00000412397	ENSG00000217801
ENST00000433695	ENSG00000217801
ENST00000451054	ENSG00000217801
ENST00000416774	ENSG00000223823
ENST00000506177	ENSG00000162571
ENST00000379288	ENSG00000162571
ENST00000460998	ENSG00000162571
ENST00000379198	ENSG00000176022
ENST00000434139	ENSG00000230415
ENST00000453732	ENSG00000230415
ENST00000470022	ENSG00000162572
ENST00000325425	ENSG00000162572
ENST00000467651	ENSG00000162572
ENST00000379099	ENSG00000162572
ENST00000379031	ENSG00000169972
ENST00000470520	ENSG00000169972
ENST00000463758	ENSG00000169972
ENST00000467712	ENSG00000169972
ENST00000493657	ENSG00000169972
ENST00000464957	ENSG00000224051
ENST00000343938	ENSG00000224051
ENST00000488011	ENSG00000224051
ENST00000339381	ENSG00000169962
ENST00000448629	ENSG00000224870
ENST00000444362	ENSG00000224870
ENST00000418833	ENSG00000224870
ENST00000576232	ENSG00000224870
ENST00000447725	ENSG00000224870
ENST00000572242	ENSG00000224870
ENST00000453521	ENSG00000224870
ENST00000607307	ENSG00000272455
ENST00000428932	ENSG00000225905
ENST00000378821	ENSG00000205116
ENST00000495558	ENSG00000179403
ENST00000338660	ENSG00000179403
ENST00000476993	ENSG00000179403
ENST00000471398	ENSG00000179403
ENST00000475091	ENSG00000215915
ENST00000484537	ENSG00000215915
ENST00000378736	ENSG00000160072
ENST00000429957	ENSG00000197785
ENST00000400830	ENSG00000197785
ENST00000366221	ENSG00000215014
ENST00000477990	ENSG00000197530
ENST00000514363	ENSG00000197530
ENST00000502470	ENSG00000197530
ENST00000507082	ENSG00000197530
ENST00000463492	ENSG00000197530
ENST00000510793	ENSG00000197530
ENST00000503789	ENSG00000197530
ENST00000512004	ENSG00000197530
ENST00000514234	ENSG00000197530
ENST00000467597	ENSG00000197530
ENST00000486072	ENSG00000197530
ENST00000473511	ENSG00000197530
ENST00000464570	ENSG00000197530
ENST00000483015	ENSG00000197530
ENST00000511910	ENSG00000197530
ENST00000470373	ENSG00000197530
ENST00000356026	ENSG00000189409
ENST00000512731	ENSG00000189409
ENST00000378675	ENSG00000189409
ENST00000479814	ENSG00000189409
ENST00000435358	ENSG00000189409
ENST00000503792	ENSG00000189409
ENST00000490017	ENSG00000189409
ENST00000607013	ENSG00000272004
ENST00000596308	ENSG00000269737
ENST00000597891	ENSG00000269737
ENST00000234610	ENSG00000215914
ENST00000417099	ENSG00000227775
ENST00000424604	ENSG00000227775
ENST00000418950	ENSG00000227775
ENST00000412228	ENSG00000231050
ENST00000307786	ENSG00000169885
ENST00000378604	ENSG00000169885
ENST00000482402	ENSG00000169885
ENST00000462293	ENSG00000169885
ENST00000484419	ENSG00000067606
ENST00000503297	ENSG00000067606
ENST00000472017	ENSG00000067606
ENST00000442483	ENSG00000234396
ENST00000493207	ENSG00000157916
ENST00000443438	ENSG00000157916
ENST00000488353	ENSG00000157916
ENST00000462129	ENSG00000157916
ENST00000473964	ENSG00000149527
ENST00000462379	ENSG00000149527
ENST00000426449	ENSG00000157873
ENST00000434817	ENSG00000157873
ENST00000435221	ENSG00000157873
ENST00000451778	ENSG00000157873
ENST00000409119	ENSG00000157873
ENST00000355716	ENSG00000157873
ENST00000475523	ENSG00000157873
ENST00000442392	ENSG00000157873
ENST00000482074	ENSG00000157873
ENST00000496064	ENSG00000157873
ENST00000463471	ENSG00000157873
ENST00000466750	ENSG00000157873
ENST00000471768	ENSG00000157873
ENST00000463835	ENSG00000157873
ENST00000482602	ENSG00000157873
ENST00000480305	ENSG00000157873
ENST00000456687	ENSG00000225931
ENST00000424215	ENSG00000228037
ENST00000493183	ENSG00000157870
ENST00000474659	ENSG00000157870
ENST00000378425	ENSG00000157870
ENST00000444521	ENSG00000157870
ENST00000419916	ENSG00000157870
ENST00000378424	ENSG00000157870
ENST00000537325	ENSG00000157870
ENST00000378427	ENSG00000157870
ENST00000464043	ENSG00000157870
ENST00000465233	ENSG00000157870
ENST00000498083	ENSG00000157870
ENST00000481683	ENSG00000157870
ENST00000484099	ENSG00000157870
ENST00000477045	ENSG00000157870
ENST00000476686	ENSG00000157870
ENST00000427302	ENSG00000237058
ENST00000638002	ENSG00000283259
ENST00000378404	ENSG00000169717
ENST00000624175	ENSG00000279839
ENST00000378389	ENSG00000142611
ENST00000445297	ENSG00000130762
ENST00000464620	ENSG00000130762
ENST00000418137	ENSG00000130762
ENST00000485984	ENSG00000130762
ENST00000378344	ENSG00000158109
ENST00000344579	ENSG00000158109
ENST00000604566	ENSG00000078900
ENST00000444870	ENSG00000235169
ENST00000452264	ENSG00000235169
ENST00000561886	ENSG00000235169
ENST00000625756	ENSG00000169598
ENST00000481945	ENSG00000169598
ENST00000461150	ENSG00000169598
ENST00000413332	ENSG00000236423
ENST00000635619	ENSG00000233304
ENST00000456897	ENSG00000233304
ENST00000635642	ENSG00000235054
ENST00000466761	ENSG00000196581
ENST00000564261	ENSG00000260972
ENST00000459822	ENSG00000069424
